name,team
Aldosivi,aldosivi
Argentinos,argentinos
Arsenal,arsenal
Rafaela,atletico-rafaela
Banfield,banfield
Belgrano,belgrano
Boca,boca
Colon,colon
Crucero,crucero-del-norte
Defensa,defensa-y-justicia
Estudiantes,estudiantes
GELP,gimnasia
Godoy Cruz,godoy-cruz
Huracan,huracan
Independiente,independiente
Lanus,lanus
Newells,newells
Chicago,chicago
Olimpo,olimpo
Quilmes,quilmes
Racing,racing
River,river
Central,rosario-central
San Lorenzo,san-lorenzo
San Martin San Juan,san-martin-san-juan
Sarmiento,sarmiento
Temperley,temperley
Tigre,tigre
Union,union
Velez,velez
